Name,Role,Department,Organization,Email,Contact
Aaina De,Assistant Professor,IT,CDI College,aaina.de@cdicollege.com,+91 9067904541
Suhana Sood,Analyst,Data Analytics,NFIB Technologies,suhana.sood@nfibtechnologies.com,+91 9618293415
Tanya Gour,Lab Assistant,Electronics,CDI College,tanya.gour@cdicollege.com,+91 9901543297
Biju Boase,Manager,R&D,NFIB Technologies,biju.boase@nfibtechnologies.com,+91 9917444896
Lakshay Vaidya,Principal,MBA,CDI College,lakshay.vaidya@cdicollege.com,+91 9378819558
Nishith Warrior,Manager,Support,NFIB Technologies,nishith.warrior@nfibtechnologies.com,+91 9695213389
Dharmajan Sarma,Principal,Mechanical,CDI College,dharmajan.sarma@cdicollege.com,+91 9375491658
Tarini Arora,Consultant,R&D,NFIB Technologies,tarini.arora@nfibtechnologies.com,+91 9142858901
Lavanya Hayre,Lab Assistant,Physics,CDI College,lavanya.hayre@cdicollege.com,+91 9742127081
Tara Mangat,Team Lead,Sales,NFIB Technologies,tara.mangat@nfibtechnologies.com,+91 9650057396
Vidur Thakur,Professor,ECE,CDI College,vidur.thakur@cdicollege.com,+91 9931696646
Aarush Brahmbhatt,Team Lead,Finance,NFIB Technologies,aarush.brahmbhatt@nfibtechnologies.com,+91 9994441145
Vihaan Kaul,HOD,Civil,CDI College,vihaan.kaul@cdicollege.com,+91 9696302958
Yuvaan Date,Software Engineer,Finance,NFIB Technologies,yuvaan.date@nfibtechnologies.com,+91 9744925463
Reyansh Ramesh,Principal,Chemistry,CDI College,reyansh.ramesh@cdicollege.com,+91 9847607701
Kismat Mammen,Consultant,Sales,NFIB Technologies,kismat.mammen@nfibtechnologies.com,+91 9111437464
Divit Bose,Lab Assistant,Mechanical,CDI College,divit.bose@cdicollege.com,+91 9464008363
Aradhya Sane,Team Lead,Support,NFIB Technologies,aradhya.sane@nfibtechnologies.com,+91 9786517827
Rhea Dave,HOD,Computer Science,CDI College,rhea.dave@cdicollege.com,+91 9580038384
Divit Shenoy,Software Engineer,Sales,NFIB Technologies,divit.shenoy@nfibtechnologies.com,+91 9167129890
Priyansh Gera,HOD,Mechanical,CDI College,priyansh.gera@cdicollege.com,+91 9125693364
Yuvaan Sarna,Manager,Marketing,NFIB Technologies,yuvaan.sarna@nfibtechnologies.com,+91 9048078652
Neysa Sankaran,HOD,Civil,CDI College,neysa.sankaran@cdicollege.com,+91 9187565571
Amani Bumb,Manager,Software Development,NFIB Technologies,amani.bumb@nfibtechnologies.com,+91 9687420465
Advika Thaker,HOD,ECE,CDI College,advika.thaker@cdicollege.com,+91 9457440073
Uthkarsh Sankaran,Team Lead,Marketing,NFIB Technologies,uthkarsh.sankaran@nfibtechnologies.com,+91 9895842938
Piya Dash,Lab Assistant,Mechanical,CDI College,piya.dash@cdicollege.com,+91 9316075141
Ayesha Wagle,Consultant,Marketing,NFIB Technologies,ayesha.wagle@nfibtechnologies.com,+91 9723865305
Dhruv Jain,Dean,ECE,CDI College,dhruv.jain@cdicollege.com,+91 9058124488
Alia Ghose,Consultant,Data Analytics,NFIB Technologies,alia.ghose@nfibtechnologies.com,+91 9804550597
Tiya Vyas,Dean,IT,CDI College,tiya.vyas@cdicollege.com,+91 9543989404
Dhruv Sane,Software Engineer,Software Development,NFIB Technologies,dhruv.sane@nfibtechnologies.com,+91 9041804095
Lakshit Rattan,Assistant Professor,Mechanical,CDI College,lakshit.rattan@cdicollege.com,+91 9129190033
Kiaan Ray,HR Executive,Finance,NFIB Technologies,kiaan.ray@nfibtechnologies.com,+91 9149416420
Trisha Das,Principal,Electronics,CDI College,trisha.das@cdicollege.com,+91 9170795132
Zain Vaidya,Analyst,Sales,NFIB Technologies,zain.vaidya@nfibtechnologies.com,+91 9196289227
Anika Krishnan,Administrator,Electronics,CDI College,anika.krishnan@cdicollege.com,+91 9468502744
Vivaan Aggarwal,Intern,Support,NFIB Technologies,vivaan.aggarwal@nfibtechnologies.com,+91 9279632214
Hiran Yogi,Assistant Professor,Mechanical,CDI College,hiran.yogi@cdicollege.com,+91 9506924801
Gatik Sha,Intern,Marketing,NFIB Technologies,gatik.sha@nfibtechnologies.com,+91 9081647170
Nayantara Krishna,HOD,Chemistry,CDI College,nayantara.krishna@cdicollege.com,+91 9575487094
Shaan Tiwari,HR Executive,HR,NFIB Technologies,shaan.tiwari@nfibtechnologies.com,+91 9116575337
Indrans Sule,Assistant Professor,Computer Science,CDI College,indrans.sule@cdicollege.com,+91 9978317408
Mamooty Kala,Intern,Sales,NFIB Technologies,mamooty.kala@nfibtechnologies.com,+91 9409026899
Piya Chhabra,Administrator,Computer Science,CDI College,piya.chhabra@cdicollege.com,+91 9469940654
Lagan Gill,Software Engineer,R&D,NFIB Technologies,lagan.gill@nfibtechnologies.com,+91 9267688449
Ranbir Doshi,Administrator,Mechanical,CDI College,ranbir.doshi@cdicollege.com,+91 9685332853
Ryan Master,Intern,R&D,NFIB Technologies,ryan.master@nfibtechnologies.com,+91 9026858397
Anay Savant,HOD,ECE,CDI College,anay.savant@cdicollege.com,+91 9872168080
Drishya Sabharwal,Consultant,R&D,NFIB Technologies,drishya.sabharwal@nfibtechnologies.com,+91 9747883949
Shaan Gole,Dean,ECE,CDI College,shaan.gole@cdicollege.com,+91 9370983797
Anya Rajagopal,Analyst,Data Analytics,NFIB Technologies,anya.rajagopal@nfibtechnologies.com,+91 9160471745
Dishani Rao,HOD,Computer Science,CDI College,dishani.rao@cdicollege.com,+91 9785822689
Jayesh Bhavsar,Consultant,HR,NFIB Technologies,jayesh.bhavsar@nfibtechnologies.com,+91 9572354342
Umang Rao,HOD,Electronics,CDI College,umang.rao@cdicollege.com,+91 9088534014
Umang Venkataraman,Analyst,Support,NFIB Technologies,umang.venkataraman@nfibtechnologies.com,+91 9693915828
Anahi Garg,Professor,Civil,CDI College,anahi.garg@cdicollege.com,+91 9254054305
Raunak Tara,Software Engineer,R&D,NFIB Technologies,raunak.tara@nfibtechnologies.com,+91 9149586267
Ehsaan Rege,Dean,ECE,CDI College,ehsaan.rege@cdicollege.com,+91 9206826731
Seher Kohli,Consultant,Data Analytics,NFIB Technologies,seher.kohli@nfibtechnologies.com,+91 9244872633
Nayantara Bhat,Professor,ECE,CDI College,nayantara.bhat@cdicollege.com,+91 9936532119
Kabir Gole,Software Engineer,Data Analytics,NFIB Technologies,kabir.gole@nfibtechnologies.com,+91 9331638943
Arhaan Banik,Lab Assistant,Computer Science,CDI College,arhaan.banik@cdicollege.com,+91 9705367854
Sahil Sekhon,Intern,Data Analytics,NFIB Technologies,sahil.sekhon@nfibtechnologies.com,+91 9793275563
Ishaan Ahuja,Principal,Civil,CDI College,ishaan.ahuja@cdicollege.com,+91 9156359405
Romil Thakkar,Consultant,R&D,NFIB Technologies,romil.thakkar@nfibtechnologies.com,+91 9093406785
Krish Mand,Dean,MBA,CDI College,krish.mand@cdicollege.com,+91 9956096505
Gokul Chokshi,Analyst,Support,NFIB Technologies,gokul.chokshi@nfibtechnologies.com,+91 9520632420
Dishani Atwal,Dean,IT,CDI College,dishani.atwal@cdicollege.com,+91 9945834808
Badal Batta,Analyst,Data Analytics,NFIB Technologies,badal.batta@nfibtechnologies.com,+91 9681577759
Tara Gara,HOD,Mechanical,CDI College,tara.gara@cdicollege.com,+91 9641275917
Seher Warrior,Intern,Data Analytics,NFIB Technologies,seher.warrior@nfibtechnologies.com,+91 9196755764
Vedika Dhingra,Dean,Chemistry,CDI College,vedika.dhingra@cdicollege.com,+91 9789449425
Divit Joshi,Manager,Data Analytics,NFIB Technologies,divit.joshi@nfibtechnologies.com,+91 9220538988
Lakshit Chaudhuri,HOD,Physics,CDI College,lakshit.chaudhuri@cdicollege.com,+91 9898626255
Vivaan Goyal,Analyst,Sales,NFIB Technologies,vivaan.goyal@nfibtechnologies.com,+91 9439448242
Trisha Chawla,Professor,Physics,CDI College,trisha.chawla@cdicollege.com,+91 9480693192
Nakul Jayaraman,Team Lead,Software Development,NFIB Technologies,nakul.jayaraman@nfibtechnologies.com,+91 9079723159
Jayan Mani,Principal,Civil,CDI College,jayan.mani@cdicollege.com,+91 9751462898
Ranbir Gera,Analyst,Finance,NFIB Technologies,ranbir.gera@nfibtechnologies.com,+91 9419587420
Dhanuk Sabharwal,Administrator,Computer Science,CDI College,dhanuk.sabharwal@cdicollege.com,+91 9528930933
Charvi Banerjee,Manager,R&D,NFIB Technologies,charvi.banerjee@nfibtechnologies.com,+91 9287913445
Shalv Bhalla,Professor,Computer Science,CDI College,shalv.bhalla@cdicollege.com,+91 9836742030
Kiara Krishnan,Team Lead,Software Development,NFIB Technologies,kiara.krishnan@nfibtechnologies.com,+91 9313947670
Pihu Luthra,Professor,Computer Science,CDI College,pihu.luthra@cdicollege.com,+91 9182454146
Tara Subramaniam,HR Executive,Support,NFIB Technologies,tara.subramaniam@nfibtechnologies.com,+91 9321395421
Baiju Baral,Principal,IT,CDI College,baiju.baral@cdicollege.com,+91 9901251576
Purab Kapur,Consultant,Data Analytics,NFIB Technologies,purab.kapur@nfibtechnologies.com,+91 9282720159
Raghav Batra,Administrator,Computer Science,CDI College,raghav.batra@cdicollege.com,+91 9933504055
Rhea Kunda,HR Executive,Sales,NFIB Technologies,rhea.kunda@nfibtechnologies.com,+91 9793582375
Ranbir Sridhar,Lab Assistant,MBA,CDI College,ranbir.sridhar@cdicollege.com,+91 9010313271
Ryan Dhar,Manager,Finance,NFIB Technologies,ryan.dhar@nfibtechnologies.com,+91 9874001468
Faiyaz Bandi,Professor,IT,CDI College,faiyaz.bandi@cdicollege.com,+91 9729392223
Prisha Samra,Consultant,Marketing,NFIB Technologies,prisha.samra@nfibtechnologies.com,+91 9249304917
Shanaya Sarkar,Assistant Professor,IT,CDI College,shanaya.sarkar@cdicollege.com,+91 9827019069
Shanaya Lata,HR Executive,R&D,NFIB Technologies,shanaya.lata@nfibtechnologies.com,+91 9850814572
Farhan Bhasin,Administrator,Mechanical,CDI College,farhan.bhasin@cdicollege.com,+91 9491204988
Drishya Bansal,Team Lead,Software Development,NFIB Technologies,drishya.bansal@nfibtechnologies.com,+91 9600167911
Aarush Sekhon,Principal,IT,CDI College,aarush.sekhon@cdicollege.com,+91 9427751852
Azad Thaker,Team Lead,HR,NFIB Technologies,azad.thaker@nfibtechnologies.com,+91 9340555994
Alia Chadha,Lab Assistant,Chemistry,CDI College,alia.chadha@cdicollege.com,+91 9422519885
Hiran Banik,Software Engineer,Data Analytics,NFIB Technologies,hiran.banik@nfibtechnologies.com,+91 9500875601
Amira Viswanathan,HOD,Physics,CDI College,amira.viswanathan@cdicollege.com,+91 9608579036
Arnav Wali,Team Lead,Data Analytics,NFIB Technologies,arnav.wali@nfibtechnologies.com,+91 9115319865
Ryan Mann,Principal,Electronics,CDI College,ryan.mann@cdicollege.com,+91 9825425476
Gatik Mahal,Analyst,Software Development,NFIB Technologies,gatik.mahal@nfibtechnologies.com,+91 9874447704
Sahil Keer,Lab Assistant,Electronics,CDI College,sahil.keer@cdicollege.com,+91 9937093912
Jhanvi Dave,Team Lead,HR,NFIB Technologies,jhanvi.dave@nfibtechnologies.com,+91 9096918745
Myra Ramakrishnan,HOD,Physics,CDI College,myra.ramakrishnan@cdicollege.com,+91 9211247110
Samar Vig,HR Executive,Finance,NFIB Technologies,samar.vig@nfibtechnologies.com,+91 9775771226
Charvi Chandra,Lab Assistant,IT,CDI College,charvi.chandra@cdicollege.com,+91 9557432407
Arhaan Bal,Analyst,Marketing,NFIB Technologies,arhaan.bal@nfibtechnologies.com,+91 9725837344
Piya Tak,Principal,IT,CDI College,piya.tak@cdicollege.com,+91 9170556986
Ranbir Swamy,Team Lead,Finance,NFIB Technologies,ranbir.swamy@nfibtechnologies.com,+91 9715724589
Anahi Singh,Professor,Electronics,CDI College,anahi.singh@cdicollege.com,+91 9445002002
Nakul Chandra,Manager,Sales,NFIB Technologies,nakul.chandra@nfibtechnologies.com,+91 9123640923
Madhup Deshpande,Administrator,MBA,CDI College,madhup.deshpande@cdicollege.com,+91 9212313443
Jiya Bhatia,Consultant,R&D,NFIB Technologies,jiya.bhatia@nfibtechnologies.com,+91 9244513273
Divyansh Khurana,Principal,Chemistry,CDI College,divyansh.khurana@cdicollege.com,+91 9772147202
Hiran Vig,Consultant,R&D,NFIB Technologies,hiran.vig@nfibtechnologies.com,+91 9129888514
Indrajit Chadha,Lab Assistant,Chemistry,CDI College,indrajit.chadha@cdicollege.com,+91 9161434933
Kanav Karan,HR Executive,Sales,NFIB Technologies,kanav.karan@nfibtechnologies.com,+91 9068530015
Indrans Chaudhari,Principal,IT,CDI College,indrans.chaudhari@cdicollege.com,+91 9639666288
Alia Sani,Consultant,R&D,NFIB Technologies,alia.sani@nfibtechnologies.com,+91 9109236393
Aradhya Bhatnagar,HOD,ECE,CDI College,aradhya.bhatnagar@cdicollege.com,+91 9229035559
Yakshit Sarraf,HR Executive,R&D,NFIB Technologies,yakshit.sarraf@nfibtechnologies.com,+91 9763612913
Anvi Khurana,Principal,Physics,CDI College,anvi.khurana@cdicollege.com,+91 9521749977
Prerak Garde,Team Lead,HR,NFIB Technologies,prerak.garde@nfibtechnologies.com,+91 9309666688
Pranay Soni,Administrator,MBA,CDI College,pranay.soni@cdicollege.com,+91 9084565093
Himmat Shukla,HR Executive,Software Development,NFIB Technologies,himmat.shukla@nfibtechnologies.com,+91 9897536625
Mannat Borra,HOD,Mechanical,CDI College,mannat.borra@cdicollege.com,+91 9821742082
Gatik Mangat,Analyst,Finance,NFIB Technologies,gatik.mangat@nfibtechnologies.com,+91 9342893449
Navya Rajagopalan,HOD,Mechanical,CDI College,navya.rajagopalan@cdicollege.com,+91 9705040344
Veer Krishnamurthy,HR Executive,HR,NFIB Technologies,veer.krishnamurthy@nfibtechnologies.com,+91 9898968606
Adira Reddy,Administrator,Electronics,CDI College,adira.reddy@cdicollege.com,+91 9760637340
Baiju Ganguly,Software Engineer,Sales,NFIB Technologies,baiju.ganguly@nfibtechnologies.com,+91 9068489319
Tejas Divan,HOD,Mechanical,CDI College,tejas.divan@cdicollege.com,+91 9087992624
Sara Varghese,Team Lead,Data Analytics,NFIB Technologies,sara.varghese@nfibtechnologies.com,+91 9148975102
Piya Apte,HOD,Chemistry,CDI College,piya.apte@cdicollege.com,+91 9502325893
Jivin Jayaraman,Consultant,Support,NFIB Technologies,jivin.jayaraman@nfibtechnologies.com,+91 9988716166
Trisha Devan,Lab Assistant,Electronics,CDI College,trisha.devan@cdicollege.com,+91 9292755523
Tejas Bhatia,Consultant,R&D,NFIB Technologies,tejas.bhatia@nfibtechnologies.com,+91 9411337180
Lakshit Kapoor,Dean,Electronics,CDI College,lakshit.kapoor@cdicollege.com,+91 9460208563
Mohanlal Chhabra,HR Executive,Data Analytics,NFIB Technologies,mohanlal.chhabra@nfibtechnologies.com,+91 9936990425
Kiaan Thakkar,HOD,Physics,CDI College,kiaan.thakkar@cdicollege.com,+91 9070849983
Ritvik Sangha,Analyst,R&D,NFIB Technologies,ritvik.sangha@nfibtechnologies.com,+91 9063580015
